"","Var1","Freq"
"1","",17
"2"," Aakar Gupta",2
"3"," Aaron K. Massey",1
"4"," Aaron Quigley",1
"5"," Aaron Steinfeld",1
"6"," Abdallah El Ali",2
"7"," Abdinasir Aliomar",1
"8"," Abdullah X. Ali",1
"9"," Abhimanyu Deora",1
"10"," Abhinandan Jain",1
"11"," Abhinav Garg",2
"12"," Abhraneel Sarma",1
"13"," Abi Roper",2
"14"," Abigail Durrant",2
"15"," Abraham H. Mhaidli",1
"16"," Abu Saleh Md Noman",1
"17"," Adam Bel",1
"18"," Adam Fourney",2
"19"," Adam J. Aviv",1
"20"," Adam Kelly",1
"21"," Adam Marcus",1
"22"," Adam Slack",1
"23"," Adil Yalcin (Keshif",1
"24"," Adilene Uriostegui",1
"25"," Aditi Mallavarapu",1
"26"," Aditya Bharadwaj",1
"27"," Aditya Dash",1
"28"," Aditya Shekhar Nittala",1
"29"," Aditya Vashistha",2
"30"," Aditya Vishwanath",1
"31"," Adrian Friday",1
"32"," Adrian Galvin",1
"33"," Adrian Hazzard",2
"34"," Adrian Park",1
"35"," Adrian Wagner",1
"36"," Adwait Sharma",1
"37"," Agha Ali Raza",2
"38"," Ahed Aladwan",1
"39"," Ahmad Azadvar",1
"40"," Ahmed Alqaraawi",1
"41"," Ahmed Kharrufa",2
"42"," Ahtsham Manzoor",1
"43"," Aida Komkaite",1
"44"," Aikaterini Bourazeri",1
"45"," Aileen Zeng",2
"46"," Aisling Ann O'Kane",1
"47"," Akrivi Katifori",1
"48"," Alaa Alahmadi",1
"49"," Alan Borning",1
"50"," Alan Chamberlain",1
"51"," Alan Davies",1
"52"," Albert Chen",1
"53"," Alberto Monge Roffarello",2
"54"," Alberto Sangiovanni Vincentelli",1
"55"," Albrecht Kurze",1
"56"," Albrecht Schmidt",4
"57"," Aleksandra Sarcevic",2
"58"," Alena Naiakshina",1
"59"," Alessandra Sorrentino",1
"60"," Alessandro Canossa",1
"61"," Alessandro Soro",2
"62"," Alessandro Vinciarelli",1
"63"," Alex Endert",1
"64"," Alex Kale",1
"65"," Alex Lu",1
"66"," Alex M. Stanage",1
"67"," Alex Rogers",1
"68"," Alexander Cho",1
"69"," Alexander De Luca",1
"70"," Alexander Eiselmayer",1
"71"," Alexander G. Mirnig",1
"72"," Alexander Majercik",1
"73"," Alexander Meschtscherjakov",1
"74"," Alexandra Chouldechova",1
"75"," Alexandra Ion",1
"76"," Alexandra Lee",1
"77"," Alexandra Papoutsaki",1
"78"," Alexandra Voit",1
"79"," Alexandre Lemort",1
"80"," Alexandros Mouzakitis",1
"81"," Alexis Hiniker",5
"82"," Alexis Hope",1
"83"," Alexis Lim",1
"84"," Ali Alkhatib",1
"85"," Ali Neshati",1
"86"," Aliaksei Miniukovich",1
"87"," Alice Ferguson",1
"88"," Alice Nguyen",1
"89"," Alicia Wang",1
"90"," Alisa Frik",1
"91"," Alison Oldfield",1
"92"," Alissa N. Antle",1
"93"," Alistair Morrison",1
"94"," Alix Goguey",2
"95"," Allison Marie Hishikawa",1
"96"," Allison Spiller",1
"97"," Aloha Hufana Ambe",2
"98"," Alyson L. Young",1
"99"," Aman Gupta",1
"100"," Aman Parnami",2
"101"," Amanda Carr",1
"102"," Amanda Lazar",2
"103"," Amanda Menking",1
"104"," Amanda Purington",1
"105"," Amanda Swearngin",1
"106"," Amanveer Wesley",1
"107"," Amber Horvath",1
"108"," Amelia Wang",1
"109"," Amelie Bengsch",1
"110"," Amina Abbas-Nazari",1
"111"," Amit Elazari Bar On",1
"112"," Amit Sharma",1
"113"," Amitabh Varshney",1
"114"," Amna Batool",1
